"時点","地域コード","地域","漁獲量【トン】","注記"
"1979年","08000","茨城県","425486",""
"1980年","08000","茨城県","501840",""
"1981年","08000","茨城県","773563",""
"1982年","08000","茨城県","774687",""
"1983年","08000","茨城県","894814",""
"1984年","08000","茨城県","1013452",""
"1985年","08000","茨城県","945665",""
"1986年","08000","茨城県","1139410",""
"1987年","08000","茨城県","1042713",""
"1988年","08000","茨城県","1027256",""
"1989年","08000","茨城県","983536",""
"1990年","08000","茨城県","844980",""
"1991年","08000","茨城県","736373",""
"1992年","08000","茨城県","577083",""
"1993年","08000","茨城県","474290",""
"1994年","08000","茨城県","289992",""
"1995年","08000","茨城県","249324",""
"1996年","08000","茨城県","290415",""
"1997年","08000","茨城県","390800",""
"1998年","08000","茨城県","294046",""
"1999年","08000","茨城県","315411",""
"2000年","08000","茨城県","215487",""
"2001年","08000","茨城県","267361",""
"2002年","08000","茨城県","191456",""
"2003年","08000","茨城県","219004",""
"2004年","08000","茨城県","202582",""
"2005年","08000","茨城県","246588",""
"2006年","08000","茨城県","283953",""
"2007年","08000","茨城県","200885",""
"2008年","08000","茨城県","195217",""
"2009年","08000","茨城県","153735",""
"2010年","08000","茨城県","189527",""
"2011年","08000","茨城県","142696",""
"2012年","08000","茨城県","156743",""
"2013年","08000","茨城県","156721",""
"2014年","08000","茨城県","226073",""
"2015年","08000","茨城県","227197",""
"2016年","08000","茨城県","246333",""
"2017年","08000","茨城県","298031",""
"2018年","08000","茨城県","263426",""
"2019年","08000","茨城県","297444",""
"2020年","08000","茨城県","304752",""
"2021年","08000","茨城県","302068",""
"1975年","09000","栃木県","1562",""
"1976年","09000","栃木県","1617",""
"1977年","09000","栃木県","1846",""
"1978年","09000","栃木県","2211",""
"1979年","09000","栃木県","2428",""
"1980年","09000","栃木県","2540",""
"1981年","09000","栃木県","2653",""
"1982年","09000","栃木県","2542",""
"1983年","09000","栃木県","2588",""
"1984年","09000","栃木県","2239",""
"1985年","09000","栃木県","2139",""
"1986年","09000","栃木県","2165",""
"1987年","09000","栃木県","2265",""
"1988年","09000","栃木県","2142",""
"1989年","09000","栃木県","2161",""
"1990年","09000","栃木県","2299",""
"1991年","09000","栃木県","2218",""
"1992年","09000","栃木県","2443",""
"1993年","09000","栃木県","2396",""
"1994年","09000","栃木県","2479",""
"1995年","09000","栃木県","2969",""
"1996年","09000","栃木県","2697",""
"1997年","09000","栃木県","2513",""
"1998年","09000","栃木県","2203",""
"1999年","09000","栃木県","1993",""
"2000年","09000","栃木県","1581",""
"2001年","09000","栃木県","1587",""
"2002年","09000","栃木県","1428",""
"2003年","09000","栃木県","1739",""
"2004年","09000","栃木県","1690",""
"2005年","09000","栃木県","1548",""
"2006年","09000","栃木県","347",""
"2007年","09000","栃木県","362",""
"2008年","09000","栃木県","353",""
"2009年","09000","栃木県","328",""
"2010年","09000","栃木県","363",""
"2011年","09000","栃木県","399",""
"2012年","09000","栃木県","258",""
"2013年","09000","栃木県","241",""
"2014年","09000","栃木県","207",""
"2015年","09000","栃木県","227",""
"2016年","09000","栃木県","270",""
"2017年","09000","栃木県","277",""
"2018年","09000","栃木県","296",""
"2019年","09000","栃木県","275",""
"2020年","09000","栃木県","356",""
"2021年","09000","栃木県","304",""
"1975年","10000","群馬県","1419",""
"1976年","10000","群馬県","1673",""
"1977年","10000","群馬県","1819",""
"1978年","10000","群馬県","1945",""
"1979年","10000","群馬県","2111",""
"1980年","10000","群馬県","2274",""
"1981年","10000","群馬県","2240",""
"1982年","10000","群馬県","2176",""
"1983年","10000","群馬県","2130",""
"1984年","10000","群馬県","1716",""
"1985年","10000","群馬県","1596",""
"1986年","10000","群馬県","1387",""
"1987年","10000","群馬県","1168",""
"1988年","10000","群馬県","1038",""
"1989年","10000","群馬県","856",""
"1990年","10000","群馬県","573",""
"1991年","10000","群馬県","466",""
"1992年","10000","群馬県","457",""
"1993年","10000","群馬県","380",""
"1994年","10000","群馬県","405",""
"1995年","10000","群馬県","384",""
"1996年","10000","群馬県","352",""
"1997年","10000","群馬県","350",""
"1998年","10000","群馬県","324",""
"1999年","10000","群馬県","274",""
"2000年","10000","群馬県","271",""
"2001年","10000","群馬県","243",""
"2002年","10000","群馬県","225",""
"2003年","10000","群馬県","203",""
"2004年","10000","群馬県","238",""
"2005年","10000","群馬県","214",""
"2006年","10000","群馬県","4",""
"2007年","10000","群馬県","4",""
"2008年","10000","群馬県","4",""
"2009年","10000","群馬県","4",""
"2010年","10000","群馬県","4",""
"2011年","10000","群馬県","4",""
"2012年","10000","群馬県","3",""
"2013年","10000","群馬県","3",""
"2014年","10000","群馬県","3",""
"2015年","10000","群馬県","3",""
"2016年","10000","群馬県","3",""
"2017年","10000","群馬県","3",""
"2018年","10000","群馬県","2",""
"2019年","10000","群馬県","2",""
"2020年","10000","群馬県","1",""
"2021年","10000","群馬県","2",""
"1975年","11000","埼玉県","2553",""
"1976年","11000","埼玉県","2632",""
"1977年","11000","埼玉県","2721",""
"1978年","11000","埼玉県","3094",""
"1979年","11000","埼玉県","3110",""
"1980年","11000","埼玉県","3293",""
"1981年","11000","埼玉県","3780",""
"1982年","11000","埼玉県","4099",""
"1983年","11000","埼玉県","4014",""
"1984年","11000","埼玉県","4040",""
"1985年","11000","埼玉県","4195",""
"1986年","11000","埼玉県","4282",""
"1987年","11000","埼玉県","4144",""
"1988年","11000","埼玉県","3192",""
"1989年","11000","埼玉県","2931",""
"1990年","11000","埼玉県","2749",""
"1991年","11000","埼玉県","2589",""
"1992年","11000","埼玉県","2443",""
"1993年","11000","埼玉県","2154",""
"1994年","11000","埼玉県","1669",""
"1995年","11000","埼玉県","1617",""
"1996年","11000","埼玉県","1469",""
"1997年","11000","埼玉県","1422",""
